iter	Passed	Remaining
0	300	299871
1	405	202328
2	509	169238
3	655	163242
4	759	151108
5	868	143859
6	974	138264
7	1086	134751
8	1198	131929
9	1305	129202
10	1413	127091
11	1519	125070
12	1629	123685
13	1736	122276
14	1839	120811
15	1951	120040
16	2056	118931
17	2165	118116
18	2271	117276
19	2382	116719
20	2498	116489
21	2620	116502
22	2734	116144
23	2839	115453
24	2950	115063
25	3062	114743
26	3174	114395
27	3290	114216
28	3394	113645
29	3499	113137
30	3603	112643
31	3710	112240
32	3822	112001
33	3937	111857
34	4048	111631
35	4153	111228
36	4258	110842
37	4362	110447
38	4468	110109
39	4573	109766
40	4679	109465
41	4785	109155
42	4888	108792
43	4989	108408
44	5094	108112
45	5200	107849
46	5302	107525
47	5404	107189
48	5505	106857
49	5613	106650
50	5716	106370
51	5822	106153
52	5923	105835
53	6031	105654
54	6140	105498
55	6245	105285
56	6347	105008
57	6452	104796
58	6557	104581
59	6659	104325
60	6765	104149
61	6869	103936
62	6972	103707
63	7075	103484
64	7178	103256
65	7290	103174
66	7392	102941
67	7496	102743
68	7602	102573
69	7703	102343
70	7806	102144
71	7906	101905
72	8007	101689
73	8112	101520
74	8215	101324
75	8318	101136
76	8426	101006
77	8534	100876
78	8653	100879
79	8762	100763
80	8864	100574
81	8967	100388
82	9072	100236
83	9182	100136
84	9298	100095
85	9403	99937
86	9511	99811
87	9615	99651
88	9717	99463
89	9818	99274
90	9930	99192
91	10118	99867
92	10245	99923
93	10357	99828
94	10467	99717
95	10575	99588
96	10700	99615
97	10826	99651
98	10930	99482
99	11036	99325
100	11140	99165
101	11259	99123
102	11369	99017
103	11476	98872
104	11577	98683
105	11685	98555
106	11793	98429
107	11899	98278
108	12002	98110
109	12108	97971
110	12212	97809
111	12343	97868
112	12453	97757
113	12557	97597
114	12661	97440
115	12764	97277
116	12867	97108
117	12972	96963
118	13077	96816
119	13184	96683
120	13288	96532
121	13400	96442
122	13507	96311
123	13614	96180
124	13717	96022
125	13821	95875
126	13927	95735
127	14028	95571
128	14131	95416
129	14237	95280
130	14340	95130
131	14445	94988
132	14549	94846
133	14658	94732
134	14764	94605
135	14871	94476
